Survey Year,UnitID,Institution Name,Campus ID,Campus Name,Institution Size,Name of Facility,Street Address,Total Fires,Category of Fire,Cause of Fire,Fire-related Injuries,Fire-related Deaths,Property Damage
2011,231420,Averett University,1,Main Campus,901,Main Hall,420 West Main st.,0,,,,,
2011,231420,Averett University,1,Main Campus,901,Bishop Hall,420 West Main st.,0,,,,,
2011,231420,Averett University,1,Main Campus,901,Davenport Hall,420 West Main st.,0,,,,,
2011,231420,Averett University,1,Main Campus,901,Danville Hall,420 West Main st.,0,,,,,
2011,231420,Averett University,1,Main Campus,901,Fugate Hall,420 West Main st.,0,,,,,
2011,231420,Averett University,1,Main Campus,901,Averett Commons Apt. building 1,210 Mt. View Road,0,,,,,
2011,231420,Averett University,1,Main Campus,901,Averett Commons Apt. building 2,212 Mt. View Road,0,,,,,
2011,231420,Averett University,1,Main Campus,901,Averett Commons Apt. building 3,214 Mt. View Road,0,,,,,
2011,231420,Averett University,1,Main Campus,901,Mt. View Apartments,252 Mt. View Road.,0,,,,,
2011,366793,Baptist Theological Seminary at Richmond,1,Main Campus,110,Graves Hall,3400 Brook Road,0,,,,,
2011,366793,Baptist Theological Seminary at Richmond,1,Main Campus,110,Kraemer,1207 Palmyra Ave,0,,,,,
2011,231554,Bluefield College,1,Main Campus,763,Alumni Hall,"3000 College Drive, Bluefield Virginia 24605",0,,,,,
2011,231554,Bluefield College,1,Main Campus,763,Rish Hall,"3000 College Drive Bluefield Virginia, 24605",0,,,,,
2011,231554,Bluefield College,1,Main Campus,763,Cruise Hall,"3000 College Drive 3000 College Drive, Bluefield, Virginia, 24605",0,,,,,
2011,231554,Bluefield College,1,Main Campus,763,East River Hall,3000 College Drive Bluefield Virginia 24605,0,,,,,
2011,231554,Bluefield College,1,Main Campus,763,Married Student Housing Cottage # 4,"3000 College Drive Bluefield Virginia, 24605",0,,,,,
2011,231581,Bridgewater College,1,Main Campus,1648,Blue Ridge Hall,449 Dinkel Avenue,0,,,,,
2011,231581,Bridgewater College,1,Main Campus,1648,Daleville Hall,451 Dinkel Avenue,0,,,,,
2011,231581,Bridgewater College,1,Main Campus,1648,Dillon Hall,461 Dinkel Avenue,0,,,,,
2011,231581,Bridgewater College,1,Main Campus,1648,Geisert Hall,400 Dinkel Avenue,0,,,,,
2011,231581,Bridgewater College,1,Main Campus,1648,Heritage Hall,401 Dinkel Avenue,0,,,,,
2011,231581,Bridgewater College,1,Main Campus,1648,Wakeman Hall,460 Dinkel Avenue,0,,,,,
2011,231581,Bridgewater College,1,Main Campus,1648,Wright Hall,110 3rd Street,0,,,,,
2011,231581,Bridgewater College,1,Main Campus,1648,Wampler Apts. A-B-C,440 Dinkel Avenue,0,,,,,
