Arrests by Offense,Harrisonburg,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",3,0
Robbery,8,3
Aggravated Assault,45,1
Simple Assault/Intimidation,222,19
Arson,1,0
Extortion/Blackmail,0,0
Burglary,18,2
Larceny,144,20
Motor Vehicle Theft,2,1
Counterfeiting/Forgery,19,0
Fraud,43,1
Embezzlement,16,0
Stolen Property,13,0
Vandalism,40,3
Drug/Narcotic Offenses,269,17
"Sex Offenses, Nonforcible",1,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,24,5
TOTAL GROUP A,872,72
Bad Checks,45,0
Curfew/Loitering/Vagrancy,0,3
Disorderly Conduct,34,7
Driving Under Influence,250,0
Drunkenness,655,1
"Family Offenses, Nonforcible",14,2
Liquor Laws Violations,656,2
Peeping Tom,2,0
Runaway,0,0
Trespass of Real Property,99,4
Conspiracy,0,0
All Other (except Traffic),1526,10
TOTAL GROUP B,3281,29
GRAND TOTAL,4153,101
