Arrests by Offense,Virginia Beach,
,Adult,Juvenile
Murder,22,2
Manslaughter,0,0
Kidnaping,45,7
"Sex Offenses, Forcible",62,15
Robbery,120,46
Aggravated Assault,123,24
Simple Assault/Intimidation,2873,520
Arson,9,6
Extortion/Blackmail,7,10
Burglary,167,87
Larceny,1157,582
Motor Vehicle Theft,30,20
Counterfeiting/Forgery,115,7
Fraud,240,5
Embezzlement,67,1
Stolen Property,39,10
Vandalism,182,97
Drug/Narcotic Offenses,1343,228
"Sex Offenses, Nonforcible",3,2
Pornography,5,2
Gambling,7,0
Prostitution,50,0
Bribery,0,0
Weapon Law Violations,207,37
TOTAL GROUP A,6873,1708
Bad Checks,48,1
Curfew/Loitering/Vagrancy,106,682
Disorderly Conduct,721,93
Driving Under Influence,2510,18
Drunkenness,3645,37
"Family Offenses, Nonforcible",54,0
Liquor Laws Violations,955,301
Peeping Tom,10,0
Runaway,0,1
Trespass of Real Property,544,103
Conspiracy,0,0
All Other (except Traffic),7879,261
TOTAL GROUP B,16472,1497
GRAND TOTAL,23345,3205
