Arrests by Offense,Campbell ,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,7,0
"Sex Offenses, Forcible",12,0
Robbery,8,1
Aggravated Assault,32,1
Simple Assault/Intimidation,401,6
Arson,2,0
Extortion/Blackmail,0,0
Burglary,35,4
Larceny,90,4
Motor Vehicle Theft,4,0
Counterfeiting/Forgery,11,0
Fraud,19,1
Embezzlement,5,0
Stolen Property,1,0
Vandalism,18,5
Drug/Narcotic Offenses,150,0
"Sex Offenses, Nonforcible",1,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,23,0
TOTAL GROUP A,819,22
Bad Checks,81,0
Curfew/Loitering/Vagrancy,1,0
Disorderly Conduct,10,0
Driving Under Influence,155,2
Drunkenness,97,0
"Family Offenses, Nonforcible",4,0
Liquor Laws Violations,5,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,20,2
Conspiracy,0,0
All Other (except Traffic),469,1
TOTAL GROUP B,842,5
GRAND TOTAL,1661,27
