Arrests by Offense,Portsmouth,
,Adult,Juvenile
Murder,12,0
Manslaughter,1,0
Kidnaping,32,1
"Sex Offenses, Forcible",18,1
Robbery,75,15
Aggravated Assault,116,1
Simple Assault/Intimidation,983,9
Arson,2,0
Extortion/Blackmail,0,0
Burglary,77,4
Larceny,336,10
Motor Vehicle Theft,14,3
Counterfeiting/Forgery,45,0
Fraud,70,1
Embezzlement,9,0
Stolen Property,44,0
Vandalism,94,6
Drug/Narcotic Offenses,571,11
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,11,0
Prostitution,23,0
Bribery,0,0
Weapon Law Violations,111,1
TOTAL GROUP A,2646,63
Bad Checks,14,0
Curfew/Loitering/Vagrancy,2,152
Disorderly Conduct,80,4
Driving Under Influence,202,0
Drunkenness,341,0
"Family Offenses, Nonforcible",121,0
Liquor Laws Violations,59,7
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,870,5
Conspiracy,0,0
All Other (except Traffic),3049,50
TOTAL GROUP B,4739,218
GRAND TOTAL,7385,281
