Arrests by Offense,Spotsylvania,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,22,0
"Sex Offenses, Forcible",23,5
Robbery,16,0
Aggravated Assault,52,11
Simple Assault/Intimidation,459,56
Arson,0,0
Extortion/Blackmail,0,0
Burglary,28,15
Larceny,479,73
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,17,0
Fraud,42,3
Embezzlement,34,1
Stolen Property,20,2
Vandalism,36,16
Drug/Narcotic Offenses,592,65
"Sex Offenses, Nonforcible",1,1
Pornography,1,0
Gambling,0,0
Prostitution,13,0
Bribery,0,0
Weapon Law Violations,38,3
TOTAL GROUP A,1876,251
Bad Checks,52,5
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,30,11
Driving Under Influence,488,5
Drunkenness,242,2
"Family Offenses, Nonforcible",17,0
Liquor Laws Violations,29,10
Peeping Tom,1,0
Runaway,0,15
Trespass of Real Property,29,2
Conspiracy,0,0
All Other (except Traffic),957,49
TOTAL GROUP B,1845,99
GRAND TOTAL,3721,350
