Arrests by Offense,Dickenson,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",4,0
Robbery,2,0
Aggravated Assault,15,1
Simple Assault/Intimidation,93,0
Arson,2,0
Extortion/Blackmail,0,0
Burglary,19,0
Larceny,45,0
Motor Vehicle Theft,7,0
Counterfeiting/Forgery,14,0
Fraud,14,0
Embezzlement,1,0
Stolen Property,5,0
Vandalism,9,1
Drug/Narcotic Offenses,65,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,11,0
TOTAL GROUP A,307,2
Bad Checks,43,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,0,2
Driving Under Influence,67,0
Drunkenness,50,0
"Family Offenses, Nonforcible",3,0
Liquor Laws Violations,9,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,7,0
Conspiracy,0,0
All Other (except Traffic),270,1
TOTAL GROUP B,449,3
GRAND TOTAL,756,5
