Arrests by Offense,Radford,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",8,1
Robbery,2,0
Aggravated Assault,24,0
Simple Assault/Intimidation,143,2
Arson,0,0
Extortion/Blackmail,0,0
Burglary,22,0
Larceny,64,4
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,8,0
Fraud,34,0
Embezzlement,2,0
Stolen Property,3,0
Vandalism,20,0
Drug/Narcotic Offenses,147,3
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,7,0
TOTAL GROUP A,492,10
Bad Checks,35,0
Curfew/Loitering/Vagrancy,1,1
Disorderly Conduct,18,0
Driving Under Influence,95,0
Drunkenness,205,0
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,454,2
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,20,0
Conspiracy,1,0
All Other (except Traffic),284,4
TOTAL GROUP B,1116,7
GRAND TOTAL,1608,17
