Arrests by Offense,Essex,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",4,0
Robbery,1,0
Aggravated Assault,8,3
Simple Assault/Intimidation,58,4
Arson,0,0
Extortion/Blackmail,0,0
Burglary,1,1
Larceny,47,8
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,1,0
Fraud,6,0
Embezzlement,2,1
Stolen Property,1,0
Vandalism,8,0
Drug/Narcotic Offenses,42,3
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,6,0
TOTAL GROUP A,189,20
Bad Checks,17,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,2,3
Driving Under Influence,50,1
Drunkenness,43,0
"Family Offenses, Nonforcible",9,0
Liquor Laws Violations,16,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,10,1
Conspiracy,0,0
All Other (except Traffic),215,6
TOTAL GROUP B,362,12
GRAND TOTAL,551,32
