Arrests by Offense,Albemarle ,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,8,0
"Sex Offenses, Forcible",9,2
Robbery,6,1
Aggravated Assault,36,2
Simple Assault/Intimidation,294,21
Arson,2,0
Extortion/Blackmail,2,0
Burglary,27,0
Larceny,334,112
Motor Vehicle Theft,7,1
Counterfeiting/Forgery,28,0
Fraud,49,0
Embezzlement,22,1
Stolen Property,21,2
Vandalism,36,2
Drug/Narcotic Offenses,212,29
"Sex Offenses, Nonforcible",0,0
Pornography,4,0
Gambling,0,0
Prostitution,2,0
Bribery,0,0
Weapon Law Violations,27,5
TOTAL GROUP A,1128,178
Bad Checks,142,0
Curfew/Loitering/Vagrancy,0,2
Disorderly Conduct,11,4
Driving Under Influence,287,4
Drunkenness,239,0
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,143,70
Peeping Tom,2,0
Runaway,0,1
Trespass of Real Property,39,2
Conspiracy,0,0
All Other (except Traffic),961,37
TOTAL GROUP B,1826,120
GRAND TOTAL,2954,298
