Arrests by Offense,Hampton,
,Adult,Juvenile
Murder,13,2
Manslaughter,0,0
Kidnaping,32,3
"Sex Offenses, Forcible",36,16
Robbery,75,24
Aggravated Assault,102,24
Simple Assault/Intimidation,937,209
Arson,5,2
Extortion/Blackmail,0,0
Burglary,73,49
Larceny,848,309
Motor Vehicle Theft,10,9
Counterfeiting/Forgery,35,4
Fraud,82,4
Embezzlement,40,1
Stolen Property,32,8
Vandalism,62,24
Drug/Narcotic Offenses,910,81
"Sex Offenses, Nonforcible",6,1
Pornography,0,4
Gambling,2,0
Prostitution,9,0
Bribery,0,0
Weapon Law Violations,133,27
TOTAL GROUP A,3442,801
Bad Checks,12,0
Curfew/Loitering/Vagrancy,2,350
Disorderly Conduct,6,59
Driving Under Influence,521,3
Drunkenness,965,9
"Family Offenses, Nonforcible",64,1
Liquor Laws Violations,53,16
Peeping Tom,0,0
Runaway,0,351
Trespass of Real Property,278,41
Conspiracy,0,0
All Other (except Traffic),3182,122
TOTAL GROUP B,5083,952
GRAND TOTAL,8525,1753
