Offenses,Under 10,10--12,13--14,15,16,17,Total
Embezzlement,0,0,0,2,34,62,98
Stolen Property Offenses,1,7,41,29,45,62,185
Destruction/Damage/Vandalism,33,113,396,281,319,362,1504
Drug/Narcotic Violations,1,29,305,468,774,1156,2733
Drug Equipment Violations,0,0,3,5,6,6,20
Incest,0,0,0,0,0,0,0
Statutory Rape,0,1,0,0,4,4,9
Pornography/Obscene Material,0,0,3,6,3,1,13
Betting/Wagering,0,0,0,2,0,2,4
Operating/Promoting/Assisting Gambling,0,0,0,0,0,0,0
Gambling Equipment Violations,0,0,0,0,0,0,0
Sports Tampering,0,0,0,0,0,0,0
Prostitution,0,0,0,0,0,2,2
Assisting or Promoting Prostitution,0,0,0,0,1,0,1
Bribery,0,0,0,0,0,0,0
Weapon Law Violations,2,40,130,99,125,165,561
Total Group A Arrests,125,1214,3986,3417,4475,5064,18281
Bad Checks,2,0,0,0,0,6,8
Curfew/Loitering/Vagrancy Violations,2,80,426,531,781,909,2729
Disorderly Conduct,7,79,424,351,357,301,1519
Driving Under the Influence,3,0,1,1,36,147,188
Drunkenness,0,1,11,30,63,93,198
"Family Offenses, Nonviolent",0,1,5,7,3,5,21
Liquor Law Violations,3,12,201,313,637,1128,2294
Peeping Tom,0,0,1,0,0,0,1
Runaway,22,223,1244,1308,1633,1285,5715
Trespass of Real Property,3,32,229,294,375,388,1321
Conspiracy to Commit Group A Offense,1,0,2,3,0,1,7
Conspiracy to Commit Group B Offense,0,0,0,0,0,1,1
All Other Offenses,55,350,1534,1783,2305,2386,8413
Total Group B Arrests,98,778,4078,4621,6190,6650,22415
