Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
COLLEGE & UNIVERSITY,,,,
Christopher Newport U. PD,17,15,2,5
Emory & Henry College PD,2,2,,2
Ferrum College PD,7,5,2,
George Mason Univ. PD,45,35,10,17
Hampton University PD,21,19,2,20
James Madison Univ. PD,27,24,3,7
J. Sargeant Reynolds CC PD,11,8,3,8
Longwood University PD,15,14,1,8
Norfolk State University PD,25,18,7,15
Northern Va. CC PD,39,35,4,1
Old Dominion University PD,46,37,9,10
Radford University PD,21,18,3,6
Thomas Nelson College PD,13,11,2,2
U. of Mary Washington PD,11,9,2,9
University of Richmond PD,19,15,4,14
University of Virginia PD,55,41,14,66
UVA's College at Wise PD,8,7,1,1
Va. Commonwealth U. PD,73,64,9,98
Va. Military Institute PD,6,6,,
Virginia State Univ. PD,16,8,8,16
Virginia Tech University PD,46,40,6,19
Va. Western CC PD,8,8,,
William & Mary College PD,19,18,1,5
COLLEGE AND UNIVERSITY TOTAL,550,457,93,329
