Offense,Number of Completed Offenses,Value Stolen
Bribery,21,"20,100"
Burglary,"29,247","48,499,244"
Embezzlement,"3,638","18,925,311"
Extortion/Blackmail,92,"192,530"
False Pretenses/Swindle/Confidence Game,"10,633","26,441,636"
Credit Card/ATM Fraud,"7,357","5,553,907"
Impersonation,"3,889","3,259,945"
Welfare Fraud,101,"117,484"
Wire Fraud,522,"1,194,082"
Total Fraud:,"22,502","36,567,054"
Kidnaping/Abduction,"1,618","33,390"
Pocket Picking,396,"352,313"
Purse Snatching,317,"158,528"
Shoplifting,"26,124","6,853,643"
Theft From Building,"22,471","26,484,885"
Theft From Coin-Operated Machine,542,"101,174"
Theft From Motor Vehicle,"37,115","23,552,527"
Theft of Motor Vehicle Parts/Accessories,"13,964","5,290,134"
All Other Larceny,"50,890","51,716,202"
Total Larceny:,"151,819","114,509,406"
Motor Vehicle Theft,"12,514","90,038,389"
Robbery,"6,368","$6,045,117"
Grand Total,"227,819","$314,830,541"
