Location,Number of Offenses
Air/Bus/Train Terminal,563
Bank/Savings & Loan,406
Bar/Night Club,696
Church/Synagogue/Temple,731
Commercial/Office Building,4907
Construction Site,1963
Convenience Store,5840
Department/Discount Store,15760
Drug Store/Dr Office/Hospital,1850
Field/Woods,1155
Government/Public Building,1228
Grocery/Supermarket,5252
Highway/Road/Alley,11876
Hotel/Motel,1848
Jail/Penitentiary,54
Lake/Waterway,299
Liquor Store,787
Parking Lot/Garage,21648
Rental/Storage Facility,452
Residence/Home,49722
Restaurant,2572
School/College,6607
Service/Gas Station,3205
Specialty Store,4655
Other/Unknown,9471
TOTAL,153547
