Location,Total Offenses
Air/Bus/Train Terminal,2
Bank/Savings and Loan,1
Bar/Night Club,4
Church/Synagogue/Temple,9
Commercial/Office Building,27
Construction Site,12
Convenience Store,6
Department/Discount Store,11
Drug Store/Dr Office/Hospital,5
Field/Woods,160
Government/Public Building,16
Grocery/Supermarket,10
Highway/Road/Alley,146
Hotel/Motel,6
Jail/Prison,2
Lake/Waterway,7
Liquor Store,0
Parking Lot/Garage,103
Rental Storage Facility,3
Residence/Home,659
Restaurant,10
School/College,95
Service/Gas Station,2
Specialty Store,10
Other/Unknown,159
