Classification,Number of Offenses
Pocket Picking,399
Purse Snatching,334
Shoplifting,26398
Theft From Building,22574
Theft From Coin-Operated Machine or Device,575
Theft From Motor Vehicle,37878
Theft of Motor Vehicle Parts & Accessories,14119
All Other Larceny,51270
TOTAL,153547
