Day/Time,00:00-03:59,04:00-07:59,08:00-11:59,12:00-15:59,16:00-19:59,20:00-23:59,Unk
Monday,5596,3057,8357,9243,10664,8289,4333
Tuesday,5698,3129,7847,9181,10841,8272,4309
Wednesday,5058,2832,7846,9073,10890,8466,4107
Thursday,5110,2743,7367,8602,10728,8471,4151
Friday,6091,2864,7894,10003,13001,10106,4654
Saturday,7346,2180,6455,8771,9645,9560,4090
Sunday,6860,2011,5095,7388,7993,7496,3428
Total,41759,18816,50861,62261,73762,60660,29072
