COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Accomack County SO ,31976,4253.18,1360,2,0,11,13,30,26,397,0,0,182,380,40,12,27,5,1,214,50,2,1,0,0,0,13
State Police ,,,125,1,0,0,0,1,1,3,0,0,0,12,2,1,6,2,0,2,95,1,0,0,0,0,6
Alleghany County SO ,12813,1997.97,256,0,1,1,1,0,7,61,0,0,28,70,7,0,6,0,1,68,41,0,0,0,0,0,7
State Police ,,,154,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,147,0,0,0,0,0,4
Amelia County SO ,13003,2822.42,367,0,1,3,2,0,12,87,2,0,38,97,22,6,15,1,2,73,35,0,1,0,1,0,5
State Police ,,,12,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0,1,11,0,0,0,0,0,0
Amherst County SO ,30133,3537.64,1066,1,8,7,27,6,18,159,7,0,61,449,26,25,54,10,0,237,80,0,1,0,1,0,12
State Police ,,,45,0,0,0,0,0,3,1,0,0,1,2,0,1,4,0,0,1,33,0,0,0,0,0,1
Appomattox County SO ,14414,1991.11,287,0,0,4,4,2,4,40,2,0,31,86,10,7,5,1,0,58,44,2,2,0,0,0,8
State Police ,,,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
Augusta County SO ,71586,2151.25,1540,0,1,9,27,8,66,157,9,0,142,611,42,32,111,21,7,307,121,0,7,0,0,1,29
State Police ,,,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,1
Bath County SO ,4719,974.78,46,0,0,0,0,0,1,4,0,0,7,31,0,0,1,0,0,9,0,0,0,0,0,0,1
