Month ,Stolen ,Recovered ,Percent Recovered
January,"27,590,180","6,054,211",21.9
February,"23,901,263","5,247,410",22
March,"23,408,895","5,153,559",22
April,"26,403,141","4,939,091",18.7
May,"25,054,987","6,115,566",24.4
June,"25,637,295","6,780,869",26.4
July,"28,859,416","6,137,908",21.3
August,"28,914,895","6,962,051",24.1
September,"27,332,984","5,388,989",19.7
October,"30,293,952","4,652,338",15.4
November,"22,381,640","4,522,444",20.2
December,"25,051,893","4,467,243",17.8
Total,"$314,830,541","$66,421,679",21.1
