How Offender(s) Left Scene,Number
Auto,942
Truck,43
Van,29
Motorcycle,1
Bicycle,123
Foot,2733
Moped,13
Other,43
Unknown,413
Total,4340
Note: Exit not reported for 3146 offenses.,
