Officers Assaulted Activity,Number of Offenses,Percent Distribution
"1. Responding to ""disturbance"" calls (family quarrels, man with gun, etc.) ",347,26.5
2. Burglaries in progress or pursuing burglary suspects ,10,0.8
3. Robberies in progress or pursuing robbery suspects ,2,0.2
4. Attempting other arrests ,325,24.8
"5. Civil disorder (riot, mass disobedience) ",12,0.9
"6. Handling, transporting, custody of prisoners ",161,12.3
7. Investigating suspicious persons or circumstances ,108,8.2
8. Ambush - no warning ,7,0.5
9. Mentally deranged ,34,2.6
10. Traffic pursuits and stops ,129,9.8
11. All Other ,176,13.4
Total,1311,100
