Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Cities,,,,
Alexandria PD,321,270,51,128
Bedford PD,22,22,,4
Bristol PD,54,46,8,21
Buena Vista PD,14,13,1,2
Charlottesville PD,115,103,12,28
Chesapeake PD,381,325,56,131
Clifton Forge PD,10,10,,5
Colonial Heights PD,50,45,5,4
Covington PD,17,15,2,10
Danville PD,128,108,20,9
Emporia PD,24,24,,10
Fairfax PD,64,58,6,16
Falls Church PD,32,22,10,10
Franklin PD,26,24,2,12
Fredericksburg PD,73,61,12,24
Galax PD,24,22,2,14
Hampton PD,276,231,45,132
Harrisonburg PD,87,82,5,16
Hopewell PD,53,49,4,12
Lexington PD,17,15,2,2
Lynchburg PD,164,152,12,63
Manassas PD,94,77,17,31
Manassas Park PD,32,28,4,14
Martinsville PD,53,50,3,6
Newport News PD,415,353,62,148
Norfolk PD,757,675,82,122
Norton PD,17,17,,7
Petersburg PD,106,91,15,44
Poquoson PD,21,19,2,2
Portsmouth PD,233,210,23,90
Radford PD,34,27,7,13
Richmond PD,733,619,114,279
Roanoke PD,262,240,22,54
Salem PD,63,60,3,27
Staunton PD,53,48,5,16
Suffolk PD,176,146,30,48
Virginia Beach PD,812,715,97,156
Waynesboro PD,51,42,9,11
Williamsburg PD,36,31,5,16
Winchester PD,70,63,7,14
CITY TOTAL,5970,5208,762,1751
