,FY2004 ,FY2005 ,FY2006 ,FY2007 ,FY2008 ,FY2009 ,FY2010 ,FY2011 ,FY2012 ,FY2013
Total SR Releases,"11,926","12,338","12,599","12,571","12,960","12,995","13,113","12,380","11,585","11,661"
Females,"1,386","1,447","1,528","1,509","1,548","1,555","1,591","1,383","1,319","1,367"
Males,"10,540","10,891","11,071","11,062","11,412","11,440","11,522","10,997","10,266","10,294"
