Arrests by Offense,Caroline ,
,Adult,Juvenile
Murder,2,0
Manslaughter,1,1
Kidnaping,2,0
"Sex Offenses, Forcible",6,0
Robbery,1,2
Aggravated Assault,47,3
Simple Assault/Intimidation,194,14
Arson,0,0
Extortion/Blackmail,0,0
Burglary,20,13
Larceny,41,6
Motor Vehicle Theft,3,2
Counterfeiting/Forgery,9,0
Fraud,10,0
Embezzlement,17,0
Stolen Property,1,0
Vandalism,16,2
Drug/Narcotic Offenses,17,17
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,15,4
TOTAL GROUP A,402,64
Bad Checks,66,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,2,2
Driving Under Influence,57,1
Drunkenness,3,0
"Family Offenses, Nonforcible",13,
Liquor Laws Violations,5,
Peeping Tom,0,0
Runaway,0,4
Trespass of Real Property,24,0
Conspiracy,1,0
All Other (except Traffic),237,20
TOTAL GROUP B,408,27
GRAND TOTAL,810,91
