Arrests by Offense,Botetourt,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",5,2
Robbery,0,0
Aggravated Assault,13,2
Simple Assault/Intimidation,62,7
Arson,2,0
Extortion/Blackmail,0,0
Burglary,11,9
Larceny,73,4
Motor Vehicle Theft,5,6
Counterfeiting/Forgery,16,2
Fraud,1,0
Embezzlement,2,0
Stolen Property,1,0
Vandalism,20,5
Drug/Narcotic Offenses,82,4
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,2,0
Weapon Law Violations,11,2
TOTAL GROUP A,311,43
Bad Checks,37,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,3,1
Driving Under Influence,192,1
Drunkenness,82,1
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,12,5
Peeping Tom,1,0
Runaway,0,3
Trespass of Real Property,4,1
Conspiracy,0,0
All Other (except Traffic),129,7
TOTAL GROUP B,461,19
GRAND TOTAL,772,62
