Arrests by Offense,Virginia Beach,
,Adult,Juvenile
Murder,9,0
Manslaughter,1,0
Kidnaping,43,5
"Sex Offenses, Forcible",61,33
Robbery,74,38
Aggravated Assault,109,36
Simple Assault/Intimidation,"2,470",584
Arson,14,9
Extortion/Blackmail,0,6
Burglary,137,91
Larceny,968,540
Motor Vehicle Theft,40,19
Counterfeiting/Forgery,115,8
Fraud,90,9
Embezzlement,82,6
Stolen Property,27,8
Vandalism,167,151
Drug/Narcotic Offenses,1669,351
"Sex Offenses, Nonforcible",20,0
Pornography,5,0
Gambling,1,1
Prostitution,52,0
Bribery,0,0
Weapon Law Violations,196,81
TOTAL GROUP A,"6,350",1976
Bad Checks,281,0
Curfew/Loitering/Vagrancy,24,829
Disorderly Conduct,921,256
Driving Under Influence,2479,13
Drunkenness,3501,34
"Family Offenses, Nonforcible",17,
Liquor Laws Violations,"1,032",349
Peeping Tom,13,4
Runaway,0,1
Trespass of Real Property,512,192
Conspiracy,0,0
All Other (except Traffic),10472,1254
TOTAL GROUP B,19252,2932
GRAND TOTAL,25602,4908
