Arrests by Offense,Colonial Heights,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",6,1
Robbery,6,0
Aggravated Assault,13,4
Simple Assault/Intimidation,179,50
Arson,1,14
Extortion/Blackmail,0,1
Burglary,16,6
Larceny,302,248
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,34,0
Fraud,13,5
Embezzlement,37,6
Stolen Property,2,1
Vandalism,18,32
Drug/Narcotic Offenses,103,18
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,9,3
TOTAL GROUP A,742,389
Bad Checks,42,0
Curfew/Loitering/Vagrancy,,14
Disorderly Conduct,35,17
Driving Under Influence,158,6
Drunkenness,108,4
"Family Offenses, Nonforcible",,
Liquor Laws Violations,66,39
Peeping Tom,0,0
Runaway,0,34
Trespass of Real Property,51,19
Conspiracy,0,0
All Other (except Traffic),835,72
TOTAL GROUP B,1295,205
GRAND TOTAL,2037,594
