Arrests by Offense,Petersburg,
,Adult,Juvenile
Murder,7,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",10,1
Robbery,19,7
Aggravated Assault,81,14
Simple Assault/Intimidation,491,24
Arson,1,2
Extortion/Blackmail,0,0
Burglary,31,7
Larceny,116,18
Motor Vehicle Theft,18,13
Counterfeiting/Forgery,84,0
Fraud,0,0
Embezzlement,12,0
Stolen Property,21,9
Vandalism,49,11
Drug/Narcotic Offenses,136,14
"Sex Offenses, Nonforcible",3,0
Pornography,0,0
Gambling,1,1
Prostitution,2,0
Bribery,0,0
Weapon Law Violations,38,7
TOTAL GROUP A,"1,122",128
Bad Checks,60,0
Curfew/Loitering/Vagrancy,,15
Disorderly Conduct,167,5
Driving Under Influence,93,1
Drunkenness,112,2
"Family Offenses, Nonforcible",,
Liquor Laws Violations,172,3
Peeping Tom,0,0
Runaway,0,19
Trespass of Real Property,233,27
Conspiracy,0,0
All Other (except Traffic),437,61
TOTAL GROUP B,1274,133
GRAND TOTAL,2396,261
