Arrests by Offense,Winchester,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",5,0
Robbery,8,4
Aggravated Assault,40,4
Simple Assault/Intimidation,202,42
Arson,0,6
Extortion/Blackmail,0,0
Burglary,19,6
Larceny,146,106
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,9,1
Fraud,4,0
Embezzlement,7,3
Stolen Property,2,2
Vandalism,12,8
Drug/Narcotic Offenses,196,31
"Sex Offenses, Nonforcible",1,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,22,6
TOTAL GROUP A,674,219
Bad Checks,311,1
Curfew/Loitering/Vagrancy,,1
Disorderly Conduct,16,5
Driving Under Influence,362,7
Drunkenness,140,5
"Family Offenses, Nonforcible",12,
Liquor Laws Violations,207,53
Peeping Tom,1,0
Runaway,0,4
Trespass of Real Property,20,4
Conspiracy,0,0
All Other (except Traffic),778,28
TOTAL GROUP B,1847,108
GRAND TOTAL,2521,327
