Arrests by Offense,Newport News,
,Adult,Juvenile
Murder,8,2
Manslaughter,0,0
Kidnaping,40,2
"Sex Offenses, Forcible",45,10
Robbery,104,34
Aggravated Assault,255,39
Simple Assault/Intimidation,"1,411",222
Arson,1,13
Extortion/Blackmail,2,0
Burglary,156,81
Larceny,491,196
Motor Vehicle Theft,68,57
Counterfeiting/Forgery,80,3
Fraud,100,5
Embezzlement,52,7
Stolen Property,64,39
Vandalism,136,70
Drug/Narcotic Offenses,1270,146
"Sex Offenses, Nonforcible",4,0
Pornography,0,0
Gambling,,0
Prostitution,37,0
Bribery,0,2
Weapon Law Violations,163,38
TOTAL GROUP A,"4,487",966
Bad Checks,,0
Curfew/Loitering/Vagrancy,10,250
Disorderly Conduct,74,47
Driving Under Influence,324,10
Drunkenness,932,4
"Family Offenses, Nonforcible",120,29
Liquor Laws Violations,47,67
Peeping Tom,10,4
Runaway,0,369
Trespass of Real Property,378,78
Conspiracy,2,0
All Other (except Traffic),894,386
TOTAL GROUP B,2791,1244
GRAND TOTAL,7278,2210
