Arrests by Offense,Roanoke,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",17,2
Robbery,2,0
Aggravated Assault,33,3
Simple Assault/Intimidation,295,23
Arson,0,0
Extortion/Blackmail,0,0
Burglary,22,4
Larceny,93,35
Motor Vehicle Theft,13,0
Counterfeiting/Forgery,24,2
Fraud,31,0
Embezzlement,15,0
Stolen Property,7,1
Vandalism,15,6
Drug/Narcotic Offenses,162,14
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,26,6
TOTAL GROUP A,758,96
Bad Checks,146,0
Curfew/Loitering/Vagrancy,,6
Disorderly Conduct,54,16
Driving Under Influence,300,2
Drunkenness,111,6
"Family Offenses, Nonforcible",9,
Liquor Laws Violations,56,36
Peeping Tom,0,0
Runaway,0,5
Trespass of Real Property,33,4
Conspiracy,0,0
All Other (except Traffic),1086,133
TOTAL GROUP B,1795,208
GRAND TOTAL,2553,304
