countyplace,cdbguogid,NAME,state,STA,county,countyname,place,placenm,hhuniv,estimated_number_foreclosures,estimated_number_mortgages,estimated_foreclosure_rate,total_90_day_vacant_residential_addresses,total_residential_addresses,estimated_90_day_vacancy_rate,total_hicost_2004_to_2006_HMDA_loans,total_2004_to_2006_HMDA_loans,estimated_hicost_loan_rate,bls_unemployment_rate,ofheo_price_change
5100100180,519999,VIRGINIA STATE PROGRAM,51,VA,001,Accomack County,00180,Accomac town,194,2,32,6.3%,0,81,0.0%,7,21,33.3%,5.1%,0.0%
5100105912,519999,VIRGINIA STATE PROGRAM,51,VA,001,Accomack County,05912,Belle Haven town,189,1,32,3.1%,0,58,0.0%,6,21,28.6%,5.1%,0.0%
5100108120,519999,VIRGINIA STATE PROGRAM,51,VA,001,Accomack County,08120,Bloxom town,150,1,24,4.2%,0,78,0.0%,5,16,31.3%,5.1%,0.0%
5100116512,519999,VIRGINIA STATE PROGRAM,51,VA,001,Accomack County,16512,Chincoteague town,"2,061",7,313,2.2%,110,"2,250",4.9%,33,206,16.0%,5.1%,0.0%
5100134176,519999,VIRGINIA STATE PROGRAM,51,VA,001,Accomack County,34176,Hallwood town,111,1,18,5.6%,0,60,0.0%,4,12,33.3%,5.1%,0.0%
5100141656,519999,VIRGINIA STATE PROGRAM,51,VA,001,Accomack County,41656,Keller town,78,1,20,5.0%,0,36,0.0%,4,13,30.8%,5.1%,0.0%
5100150984,519999,VIRGINIA STATE PROGRAM,51,VA,001,Accomack County,50984,Melfa town,185,2,46,4.3%,0,85,0.0%,9,31,29.0%,5.1%,0.0%
5100159336,519999,VIRGINIA STATE PROGRAM,51,VA,001,Accomack County,59336,Onancock town,632,4,118,3.4%,3,526,0.6%,20,78,25.6%,5.1%,0.0%
5100159384,519999,VIRGINIA STATE PROGRAM,51,VA,001,Accomack County,59384,Onley town,220,2,54,3.7%,0,108,0.0%,11,36,30.6%,5.1%,0.0%
5100160296,519999,VIRGINIA STATE PROGRAM,51,VA,001,Accomack County,60296,Painter town,107,1,18,5.6%,0,33,0.0%,3,12,25.0%,5.1%,0.0%
5100160680,519999,VIRGINIA STATE PROGRAM,51,VA,001,Accomack County,60680,Parksley town,341,4,64,6.3%,0,113,0.0%,17,42,40.5%,5.1%,0.0%
5100170576,519999,VIRGINIA STATE PROGRAM,51,VA,001,Accomack County,70576,Saxis town,165,1,26,3.8%,0,89,0.0%,5,17,29.4%,5.1%,0.0%
5100177520,519999,VIRGINIA STATE PROGRAM,51,VA,001,Accomack County,77520,Tangier town,231,2,43,4.7%,1,192,0.5%,7,29,24.1%,5.1%,0.0%
5100182320,519999,VIRGINIA STATE PROGRAM,51,VA,001,Accomack County,82320,Wachapreague town,119,1,20,5.0%,0,37,0.0%,4,13,30.8%,5.1%,0.0%
5100199999,519999,VIRGINIA STATE PROGRAM,51,VA,001,Accomack County,99999,,"10,487",80,"1,906",4.2%,17,"5,112",0.3%,370,"1,256",29.5%,5.1%,0.0%
510024,510024,ALEXANDRIA,51,VA,510,Alexandria city,01000,Alexandria city,"61,968",539,"34,815",1.5%,"1,448","72,343",2.0%,"2,158","22,941",9.4%,2.9%,-9.1%
5100320560,519999,VIRGINIA STATE PROGRAM,51,VA,003,Albemarle County,20560,Crozet CDP,979,7,873,0.8%,0,"1,227",0.0%,62,575,10.8%,3.3%,-0.4%
5100370800,519999,VIRGINIA STATE PROGRAM,51,VA,003,Albemarle County,70800,Scottsville town,272,4,167,2.4%,4,250,1.6%,24,110,21.8%,3.3%,-0.4%
5100399999,519999,VIRGINIA STATE PROGRAM,51,VA,003,Albemarle County,99999,,"30,665",131,"15,983",0.8%,187,"36,592",0.5%,"1,161","10,532",11.0%,3.3%,-0.4%
