OFFENSE,2005,2006,2007,2008,2009,2010,2011
HOMICIDE,2,1,1,2,0,1,1
FORCIBLE RAPE,30,26,20,24,17,26,19
AGGRAVATED ASSAULT,69,61,61,58,57,65,54
ROBBERY,26,42,44,39,26,20,21
TOTAL CRIMES AGAINST PEOPLE,127,130,126,123,100,112,95
,,,,,,,-15%
BREAKING & ENTERING,269,359,318,244,247,274,214
STOLEN MOTOR VEHICLES,113,105,85,99,122,79,49
LARCENIES,1699,1808,1707,1663,1736,1464,1378
TOTAL PROPERTY CRIME,2081,2272,2110,2006,2105,1817,1641
,,,,,,,-10%
TOTAL,2208,2402,2236,2129,2205,1929,1736
