Name: “Table 1 of 1 on page 16 of 24”,Name: “Table 1 of 1 on page 16 of 24”
Table: 15,Table: 15
,
,Trauma And Justice
,Opportunities For Partnership
•,Federal Partners group - meets regularly to share
,"information and strategize CMHS, CSAT, GAINS"
,"Center, NIC, OJJDP, BJA"
•,New opportunity with Attorney General’s newly
,formed (Jan 2011) Interagency Reentry Council to
,focus on prisoner reentry
•,Work with OJP/BJA & OJJDP and National Institute
,of Corrections to continue expanding new
,approaches for BH treatment courts & diversion
,initiatives
,Slide 16
