Name: “Table 1 of 1 on page 24 of 24”,Name: “Table 1 of 1 on page 24 of 24”
Table: 23,Table: 23
,
,SAMHSA Principles
•,People
,Stay focused on the goal
•,Partnership
,Cannot do it alone
•,Performance
,Make a measurable
,difference
