Processed Complaints Calendar Year 2006,Total
Administrative Investigations,39
Citizen Complaints,95
Command Handled Complaints,214
Chief of Police Inquiries,12
Criminal Investigations,1
Firearm Discharges,14
Inquiries/Referrals,6
Total,381
