Arrests by Offense,Martinsville,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",0,0
Robbery,4,0
Aggravated Assault,16,0
Simple Assault/Intimidation,202,6
Arson,0,2
Extortion/Blackmail,0,0
Burglary,16,1
Larceny,103,1
Motor Vehicle Theft,6,1
Counterfeiting/Forgery,2,0
Fraud,14,0
Embezzlement,3,0
Stolen Property,2,0
Vandalism,32,4
Drug/Narcotic Offenses,102,12
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,24,2
TOTAL GROUP A,527,29
Bad Checks,1,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,33,0
Driving Under Influence,84,0
Drunkenness,114,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,33,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,34,0
Conspiracy,0,0
All Other (except Traffic),611,19
TOTAL GROUP B,911,21
GRAND TOTAL,1438,50
