Arrests by Offense,Louisa,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",4,1
Robbery,0,0
Aggravated Assault,15,0
Simple Assault/Intimidation,80,2
Arson,2,0
Extortion/Blackmail,0,0
Burglary,2,0
Larceny,47,3
Motor Vehicle Theft,1,1
Counterfeiting/Forgery,1,0
Fraud,3,0
Embezzlement,3,0
Stolen Property,0,0
Vandalism,4,0
Drug/Narcotic Offenses,75,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,6,0
TOTAL GROUP A,243,7
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,1,0
Driving Under Influence,87,1
Drunkenness,58,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,16,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,10,0
Conspiracy,0,0
All Other (except Traffic),53,4
TOTAL GROUP B,225,6
GRAND TOTAL,468,13
