Arrests by Offense,Grayson,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",4,0
Robbery,1,0
Aggravated Assault,5,0
Simple Assault/Intimidation,54,3
Arson,1,0
Extortion/Blackmail,0,0
Burglary,8,1
Larceny,13,0
Motor Vehicle Theft,4,0
Counterfeiting/Forgery,6,0
Fraud,4,0
Embezzlement,1,0
Stolen Property,1,0
Vandalism,9,2
Drug/Narcotic Offenses,55,1
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,7,1
TOTAL GROUP A,176,8
Bad Checks,3,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,1,0
Driving Under Influence,26,1
Drunkenness,33,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,17,2
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,7,0
Conspiracy,0,0
All Other (except Traffic),58,5
TOTAL GROUP B,147,8
GRAND TOTAL,323,16
