Arrests by Offense,Stafford,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,9,2
"Sex Offenses, Forcible",16,2
Robbery,23,1
Aggravated Assault,77,7
Simple Assault/Intimidation,504,31
Arson,0,1
Extortion/Blackmail,0,0
Burglary,34,2
Larceny,438,43
Motor Vehicle Theft,21,1
Counterfeiting/Forgery,29,0
Fraud,60,2
Embezzlement,25,1
Stolen Property,16,1
Vandalism,91,4
Drug/Narcotic Offenses,593,49
"Sex Offenses, Nonforcible",2,0
Pornography,4,0
Gambling,0,0
Prostitution,4,0
Bribery,0,0
Weapon Law Violations,27,0
TOTAL GROUP A,1974,147
Bad Checks,25,0
Curfew/Loitering/Vagrancy,1,0
Disorderly Conduct,45,7
Driving Under Influence,506,4
Drunkenness,272,2
"Family Offenses, Nonforcible",13,0
Liquor Laws Violations,109,50
Peeping Tom,0,0
Runaway,0,127
Trespass of Real Property,44,4
Conspiracy,3,0
All Other (except Traffic),1745,68
TOTAL GROUP B,2763,262
GRAND TOTAL,4737,409
