Arrests by Offense,Amherst ,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",0,0
Robbery,0,0
Aggravated Assault,4,1
Simple Assault/Intimidation,72,0
Arson,1,0
Extortion/Blackmail,0,0
Burglary,9,0
Larceny,78,8
Motor Vehicle Theft,0,4
Counterfeiting/Forgery,0,0
Fraud,5,0
Embezzlement,1,0
Stolen Property,0,0
Vandalism,9,0
Drug/Narcotic Offenses,212,5
"Sex Offenses, Nonforcible",0,0
Pornography,0,1
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,3,0
TOTAL GROUP A,394,19
Bad Checks,1,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,3,3
Driving Under Influence,136,0
Drunkenness,109,2
"Family Offenses, Nonforcible",6,0
Liquor Laws Violations,6,20
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,7,0
Conspiracy,0,0
All Other (except Traffic),45,1
TOTAL GROUP B,313,27
GRAND TOTAL,707,46
