Arrests by Offense,Newport News,
,Adult,Juvenile
Murder,9,2
Manslaughter,0,0
Kidnaping,57,2
"Sex Offenses, Forcible",23,9
Robbery,61,14
Aggravated Assault,243,27
Simple Assault/Intimidation,1512,127
Arson,9,26
Extortion/Blackmail,0,0
Burglary,88,50
Larceny,651,143
Motor Vehicle Theft,4,0
Counterfeiting/Forgery,74,0
Fraud,162,3
Embezzlement,36,0
Stolen Property,52,5
Vandalism,110,15
Drug/Narcotic Offenses,1430,100
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,1,2
Prostitution,88,0
Bribery,0,0
Weapon Law Violations,131,13
TOTAL GROUP A,4742,538
Bad Checks,20,0
Curfew/Loitering/Vagrancy,4,0
Disorderly Conduct,35,10
Driving Under Influence,673,1
Drunkenness,905,3
"Family Offenses, Nonforcible",86,21
Liquor Laws Violations,44,17
Peeping Tom,2,0
Runaway,0,152
Trespass of Real Property,320,68
Conspiracy,0,0
All Other (except Traffic),1717,74
TOTAL GROUP B,3806,346
GRAND TOTAL,8548,884
