Arrests by Offense,Nottoway,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",4,0
Robbery,0,0
Aggravated Assault,8,0
Simple Assault/Intimidation,89,3
Arson,0,0
Extortion/Blackmail,0,0
Burglary,9,0
Larceny,38,2
Motor Vehicle Theft,3,1
Counterfeiting/Forgery,1,0
Fraud,3,0
Embezzlement,2,0
Stolen Property,0,0
Vandalism,14,0
Drug/Narcotic Offenses,54,1
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,1,0
TOTAL GROUP A,228,7
Bad Checks,24,0
Curfew/Loitering/Vagrancy,0,2
Disorderly Conduct,6,1
Driving Under Influence,73,0
Drunkenness,40,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,4,0
Peeping Tom,1,0
Runaway,0,2
Trespass of Real Property,20,0
Conspiracy,0,0
All Other (except Traffic),263,2
TOTAL GROUP B,432,7
GRAND TOTAL,660,14
