Arrests by Offense,College/University,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",3,0
Robbery,2,0
Aggravated Assault,28,0
Simple Assault/Intimidation,114,1
Arson,4,0
Extortion/Blackmail,0,0
Burglary,12,0
Larceny,170,2
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,10,0
Fraud,35,1
Embezzlement,4,0
Stolen Property,6,0
Vandalism,47,0
Drug/Narcotic Offenses,659,14
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,42,0
TOTAL GROUP A,1141,18
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,2
Disorderly Conduct,72,0
Driving Under Influence,460,2
Drunkenness,811,1
"Family Offenses, Nonforcible",3,0
Liquor Laws Violations,780,23
Peeping Tom,3,0
Runaway,0,0
Trespass of Real Property,171,0
Conspiracy,0,0
All Other (except Traffic),488,6
TOTAL GROUP B,2788,34
GRAND TOTAL,3929,52
