Arrests by Offense,Petersburg,
,Adult,Juvenile
Murder,8,0
Manslaughter,0,0
Kidnaping,17,1
"Sex Offenses, Forcible",12,4
Robbery,28,4
Aggravated Assault,80,6
Simple Assault/Intimidation,444,12
Arson,2,1
Extortion/Blackmail,0,0
Burglary,42,6
Larceny,179,14
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,22,0
Fraud,19,0
Embezzlement,15,0
Stolen Property,18,2
Vandalism,55,4
Drug/Narcotic Offenses,660,9
"Sex Offenses, Nonforcible",3,0
Pornography,1,0
Gambling,0,0
Prostitution,2,0
Bribery,0,0
Weapon Law Violations,58,3
TOTAL GROUP A,1665,66
Bad Checks,4,0
Curfew/Loitering/Vagrancy,0,2
Disorderly Conduct,96,2
Driving Under Influence,131,0
Drunkenness,22,0
"Family Offenses, Nonforcible",59,0
Liquor Laws Violations,75,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,160,3
Conspiracy,1,0
All Other (except Traffic),1261,14
TOTAL GROUP B,1809,21
GRAND TOTAL,3474,87
