Arrests by Offense,Albemarle ,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,10,0
"Sex Offenses, Forcible",13,0
Robbery,2,0
Aggravated Assault,27,2
Simple Assault/Intimidation,257,32
Arson,3,1
Extortion/Blackmail,2,0
Burglary,25,3
Larceny,294,85
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,14,0
Fraud,24,2
Embezzlement,25,0
Stolen Property,5,0
Vandalism,34,2
Drug/Narcotic Offenses,154,18
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,24,4
TOTAL GROUP A,917,149
Bad Checks,25,0
Curfew/Loitering/Vagrancy,0,1
Disorderly Conduct,13,2
Driving Under Influence,268,2
Drunkenness,192,0
"Family Offenses, Nonforcible",4,0
Liquor Laws Violations,99,42
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,45,8
Conspiracy,0,0
All Other (except Traffic),854,42
TOTAL GROUP B,1500,97
GRAND TOTAL,2417,246
