Arrests by Offense,Alexandria,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",4,0
Robbery,47,7
Aggravated Assault,49,1
Simple Assault/Intimidation,344,34
Arson,3,0
Extortion/Blackmail,0,0
Burglary,32,3
Larceny,258,71
Motor Vehicle Theft,19,10
Counterfeiting/Forgery,20,0
Fraud,31,8
Embezzlement,36,1
Stolen Property,11,1
Vandalism,30,11
Drug/Narcotic Offenses,437,38
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,5,0
Prostitution,17,0
Bribery,0,0
Weapon Law Violations,16,8
TOTAL GROUP A,1361,193
Bad Checks,6,0
Curfew/Loitering/Vagrancy,12,0
Disorderly Conduct,111,11
Driving Under Influence,320,1
Drunkenness,360,7
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,386,58
Peeping Tom,3,0
Runaway,0,169
Trespass of Real Property,150,10
Conspiracy,0,0
All Other (except Traffic),699,41
TOTAL GROUP B,2048,297
GRAND TOTAL,3409,490
