Arrests by Offense,Chesapeake,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,33,0
"Sex Offenses, Forcible",21,4
Robbery,31,7
Aggravated Assault,133,11
Simple Assault/Intimidation,1129,40
Arson,4,0
Extortion/Blackmail,1,0
Burglary,78,15
Larceny,1076,26
Motor Vehicle Theft,16,2
Counterfeiting/Forgery,34,1
Fraud,88,0
Embezzlement,51,0
Stolen Property,40,0
Vandalism,84,3
Drug/Narcotic Offenses,1416,76
"Sex Offenses, Nonforcible",4,0
Pornography,6,0
Gambling,0,0
Prostitution,25,0
Bribery,1,0
Weapon Law Violations,72,5
TOTAL GROUP A,4345,190
Bad Checks,17,0
Curfew/Loitering/Vagrancy,35,53
Disorderly Conduct,41,3
Driving Under Influence,1096,0
Drunkenness,621,1
"Family Offenses, Nonforcible",11,0
Liquor Laws Violations,93,28
Peeping Tom,2,0
Runaway,0,0
Trespass of Real Property,180,9
Conspiracy,34,0
All Other (except Traffic),2750,85
TOTAL GROUP B,4880,179
GRAND TOTAL,9225,369
