Arrests by Offense,Emporia,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,0
Robbery,0,0
Aggravated Assault,9,0
Simple Assault/Intimidation,51,4
Arson,0,2
Extortion/Blackmail,0,0
Burglary,17,15
Larceny,55,16
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,7,0
Fraud,2,0
Embezzlement,7,0
Stolen Property,3,0
Vandalism,5,1
Drug/Narcotic Offenses,79,6
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,1
TOTAL GROUP A,247,45
Bad Checks,7,0
Curfew/Loitering/Vagrancy,0,16
Disorderly Conduct,7,2
Driving Under Influence,48,0
Drunkenness,53,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,5,1
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,24,5
Conspiracy,0,0
All Other (except Traffic),205,10
TOTAL GROUP B,350,35
GRAND TOTAL,597,80
