Arrests by Offense,Washington,
,Adult,Juvenile
Murder,3,0
Manslaughter,1,0
Kidnaping,8,0
"Sex Offenses, Forcible",7,0
Robbery,8,0
Aggravated Assault,26,1
Simple Assault/Intimidation,177,10
Arson,1,1
Extortion/Blackmail,1,0
Burglary,28,0
Larceny,262,8
Motor Vehicle Theft,9,0
Counterfeiting/Forgery,13,0
Fraud,61,0
Embezzlement,11,0
Stolen Property,4,1
Vandalism,22,8
Drug/Narcotic Offenses,189,10
"Sex Offenses, Nonforcible",1,1
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,17,5
TOTAL GROUP A,849,45
Bad Checks,44,0
Curfew/Loitering/Vagrancy,1,1
Disorderly Conduct,9,0
Driving Under Influence,156,2
Drunkenness,184,3
"Family Offenses, Nonforcible",4,0
Liquor Laws Violations,42,13
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,22,2
Conspiracy,1,0
All Other (except Traffic),449,44
TOTAL GROUP B,912,65
GRAND TOTAL,1761,110
