Arrests by Offense,Charlottesville,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,13,0
"Sex Offenses, Forcible",4,0
Robbery,20,1
Aggravated Assault,46,0
Simple Assault/Intimidation,364,3
Arson,1,0
Extortion/Blackmail,1,0
Burglary,29,0
Larceny,176,2
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,18,0
Fraud,43,0
Embezzlement,18,0
Stolen Property,6,1
Vandalism,33,2
Drug/Narcotic Offenses,237,4
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,20,2
TOTAL GROUP A,1036,15
Bad Checks,191,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,23,0
Driving Under Influence,124,1
Drunkenness,444,0
"Family Offenses, Nonforcible",11,0
Liquor Laws Violations,50,7
Peeping Tom,0,0
Runaway,0,85
Trespass of Real Property,147,3
Conspiracy,0,0
All Other (except Traffic),934,27
TOTAL GROUP B,1924,123
GRAND TOTAL,2960,138
