Arrests by Offense,King William,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",2,0
Robbery,1,0
Aggravated Assault,10,1
Simple Assault/Intimidation,51,6
Arson,0,0
Extortion/Blackmail,0,0
Burglary,12,2
Larceny,12,2
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,2,0
Fraud,2,0
Embezzlement,0,0
Stolen Property,2,0
Vandalism,8,5
Drug/Narcotic Offenses,22,3
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,4,0
TOTAL GROUP A,131,19
Bad Checks,8,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,1,0
Driving Under Influence,28,1
Drunkenness,20,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,1,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,4,0
Conspiracy,0,0
All Other (except Traffic),64,1
TOTAL GROUP B,126,2
GRAND TOTAL,257,21
