,Number of Domestic Violence Arrests,,,,,"Number of Domestic Violence Arrests per 1,000 Population",,,,,Rate Percent Change 2006-2010
,2006,2007,2008,2009,2010,2006,2007,2008,2009,2010,
Amherst Co,88,118,102,94,100,3.1,4.0,3.6,3.2,3.5,+11.8
Appomattox Co,12,4,21,18,13,1.0,0.3,1.7,1.4,1.0,+1.1
Bedford Co,299,281,304,281,251,5.2,4.7,5.1,4.7,4.1,-20.8
Botetourt Co,94,72,73,73,80,3.3,2.4,2.5,2.5,2.7,-18.1
Campbell Co,280,276,254,306,260,6.1,6.0,5.5,6.5,5.3,-13.0
Craig Co,19,12,13,25,15,4.2,2.6,2.8,5.6,3.3,-23.2
Franklin Co,101,65,92,106,88,2.2,1.4,2.0,2.3,1.8,-20.4
Giles Co,40,44,65,67,73,2.8,3.0,4.5,4.4,4.8,+71.8
Montgomery Co,221,230,265,321,282,2.8,2.9,3.2,3.9,3.3,+19.2
Pulaski Co,136,139,182,161,171,4.4,4.5,5.9,5.1,5.5,+23.1
Roanoke Co,32,246,301,330,334,0.4,3.0,3.7,4.2,4.1,+902.0
Bedford C,65,56,42,52,56,12.3,10.5,7.6,9.3,10.2,-16.6
Lynchburg C,464,482,459,463,468,7.7,7.7,7.2,7.1,7.0,-8.8
Radford C,79,77,110,97,82,5.6,5.4,7.7,6.5,5.4,-3.6
Roanoke C,792,863,"1,000",969,999,9.8,10.6,12.4,11.7,11.8,+20.8
Salem C,97,108,113,88,134,4.4,4.8,5.1,3.9,6.0,+37.6
Total,"2,819","3,073","3,396","3,451","3,406",4.6,5.0,5.5,5.5,5.3,+15.2
