,Number of Domestic Violence Victims,,,,,"Number of Domestic Violence Victims Per 1,000 Population",,,,,Rate Percentage Change
Locality,"2,006","2,007","2,008","2,009","2,010",2006,2007,2008,2009,2010,2006-2010
Alleghany Co,64,60,67,70,76,3.7,3.6,4,4.1,4.7,27
Augusta Co,160,168,167,160,182,2.3,2.4,2.3,2.2,2.5,870.00%
Bath Co,4,1,3,1,4,0.8,0.2,0.6,0.2,0.8,0
Frederick Co,509,555,610,685,695,7.2,7.6,8.2,9.1,8.9,2360.00%
Highland Co,,,10,2,5,0,0,4.4,0.9,2.2,na
Page Co,127,106,83,100,104,5.3,4.4,3.5,4.1,4.3,-18.9
Rockbridge Co,92,111,87,87,112,4.2,5.1,4,4,5,1900.00%
Rockingham Co,120,111,103,93,127,1.6,1.5,1.4,1.2,1.7,6.2
Shenandoah Co,160,146,177,162,204,4,3.6,4.3,3.9,4.9,2250.00%
Buena Vista C,10,19,27,25,16,1.5,3,4.2,3.8,2.4,60
Covington C,73,81,93,115,85,12.6,13.9,15.6,19.3,14.3,1350.00%
Harrisonburg C,227,267,255,238,210,5.1,6,5.6,5.1,4.3,-15.7
Lexington C,17,19,8,8,10,2.4,2.7,1.1,1.1,1.4,-41.7
Staunton C,182,185,225,177,203,8,8.1,9.7,7.5,8.5,6.3
Waynesboro C,314,285,333,344,374,15.5,14.2,16.3,16.6,17.8,14.8
Winchester C,415,331,362,387,375,16,12.8,13.9,14.7,14.3,-10.6
Total,"2,474","2,445","2,610","2,654","2,782",5.4,5.3,5.6,5.6,5.8,740.00%
