,Number of Domestic Violence Victims,,,,,"Number of Domestic Violence Victims Per 1,000 Population",,,,,Rate Percentage Change
Locality,"2,006","2,007","2,008","2,009","2,010",2006,2007,2008,2009,2010,2006-2010
Albemarle Co,579,544,604,559,511,6.2,5.9,6.4,5.9,5.2,-16.1
Amelia Co,69,86,60,87,84,5.4,6.8,4.6,6.6,6.6,2220.00%
Buckingham Co,69,81,83,101,87,4.2,4.9,5,6,5.1,2140.00%
Caroline Co,159,192,202,203,201,6.1,7,7.2,7.2,7,1480.00%
Charles City Co,17,20,24,24,22,2.4,2.9,3.5,3.4,3,2500.00%
Chesterfield Co,"1,960","2,087","2,323","2,375","2,639",6.7,7,7.6,7.7,8.3,2390.00%
Culpeper Co,344,331,344,318,397,7.7,7.1,7.2,6.6,8.5,1040.00%
Cumberland Co,49,40,48,31,49,5,4.1,4.9,3.1,4.9,-2
Dinwiddie Co,45,118,111,147,116,1.7,4.5,4.1,5.4,4.1,14120.00%
Fluvanna Co,148,127,163,107,106,5.9,4.9,6.2,4,4.1,-30.5
Goochland Co,37,33,54,60,44,1.8,1.6,2.6,2.8,2,1110.00%
Greene Co,81,74,103,94,138,4.7,4.2,5.8,5.2,7.5,5960.00%
Hanover Co,343,411,453,527,535,3.6,4.2,4.6,5.3,5.4,5000.00%
Henrico Co,"1,799","1,735","1,689","1,601","1,535",6,6,5.8,5.4,5,-20.6
King & Queen Co,25,23,25,25,31,3.6,3.3,3.7,3.7,4.5,2500.00%
King William Co,60,39,53,58,78,4.1,2.5,3.3,3.6,4.9,1950.00%
Louisa Co,150,189,167,140,194,4.9,6,5.1,4.3,5.9,2040.00%
Madison Co,76,74,79,88,89,5.5,5.4,5.7,6.3,6.7,2180.00%
Nelson Co,92,83,79,84,70,6.2,5.5,5,5.4,4.7,-24.2
New Kent Co,96,134,101,153,121,5.7,7.9,5.8,8.6,6.6,15.8
Orange Co,125,162,174,117,85,4,5,5.2,3.5,2.5,-35.9
Powhatan Co,90,78,70,51,86,3,2.8,2.5,1.8,3.1,-8.8
Prince George Co,132,155,152,163,115,3.6,4.2,4,4.2,3.2,-11.1
Rappahannock Co,25,35,25,38,65,3.5,5,3.6,5.4,8.8,151.4
Sussex Co,69,66,72,82,66,6,5.5,5.9,6.7,5.5,-3.5
Charlottesville C,357,383,326,350,361,8.7,9.7,8.2,8.7,8.3,-4.6
Colonial Heights C,134,121,121,144,154,7.8,7,6.9,8.2,8.8,12.8
Hopewell C,410,347,372,378,460,18.3,15.1,15.9,16.2,20.4,11.5
Petersburg C,603,684,608,457,400,19.3,22.5,19.8,15,12.3,-36.3
Richmond C,"1,743","2,033","1,945","1,992","1,920",9,10.4,9.9,10.1,9.4,4.4
Total,"9,886","10,485","10,630","10,554","10,759",6.6,6.9,6.9,6.8,6.8,3.3
