Locality,Number of Domestic Violence Arrests,,,,,"Number of Domestic Violence Arrests per 1,000 Population",,,,,Rate Percent Change 2006-2010
,2006,2007,2008,2009,2010,2006,2007,2008,2009,2010,
Accomack Co,59,66,91,94,81,1.7,1.9,2.7,2.8,2.8,+62.0
Essex Co,37,24,42,42,40,4.0,2.5,4.4,4.3,4.1,+1.6
King George Co,95,65,68,93,75,5.2,3.4,3.5,4.6,3.8,-28.2
Lancaster Co,11,18,24,26,9,1.0,1.7,2.3,2.5,0.9,-17.6
Middlesex Co,29,15,10,22,30,3.1,1.6,1.1,2.2,3.0,-2.7
Northampton Co,20,46,38,29,41,1.7,3.9,3.2,2.5,3.7,+117.0
Northumberland Co,29,30,38,49,27,2.4,2.5,3.2,4.1,2.4,-0.8
Richmond Co,33,27,28,29,22,3.7,3.3,3.1,3.6,2.6,-30.0
Westmoreland Co,74,40,63,56,50,5.0,2.7,4.1,3.6,3.2,-35.4
Total,387,331,402,440,375,3.0,2.6,3.1,3.4,3.0,+0.0
