,Number of Domestic Violence Victims,,,,,"Number of Domestic Violence Victims Per 1,000 Population",,,,,Rate Percentage Change
Locality,"2,006","2,007","2,008","2,009","2,010",2006,2007,2008,2009,2010,2006-2010
Arlington Co,538,416,375,413,433,2.7,2,1.8,1.9,2.1,-22.2
Clarke Co,59,53,55,59,44,4.2,3.7,3.8,4.1,3.1,-26.2
Fairfax Co,"3,405","3,869","3,543","3,225","3,308",3.4,3.8,3.5,3.1,3.1,-8.8
Fauquier Co,320,282,261,253,310,5,4.3,3.9,3.7,4.8,-4
Loudoun Co,"1,211","1,314","1,416","1,329","1,216",4.5,4.7,4.9,4.5,3.9,-13.3
Prince William Co,"1,535","1,597","1,615","1,964","2,146",4.2,4.3,4.2,5.1,5.3,26.2
Spotsylvania Co,807,907,"1,022","1,063","1,008",6.8,7.6,8.4,8.7,8.2,2060.00%
Stafford Co,591,601,654,633,680,5,4.9,5.3,5,5.3,6
Warren Co,176,166,276,285,266,5,4.6,7.6,7.8,7.1,4200.00%
Alexandria C,321,520,617,620,665,2.4,3.8,4.4,4.4,4.8,100
Fairfax C,47,115,129,101,113,2,4.9,5.3,4.1,5,15000.00%
Falls Church C,34,38,15,19,26,3.1,3.4,1.3,1.6,2.1,-32.3
Fredericksburg C,127,332,337,369,368,5.8,14.9,15,16.1,15.2,162.1
Manassas C,366,357,355,389,393,10,9.9,10,10.7,10.4,3
Manassas Park C,102,75,77,86,119,7.4,5.4,5.5,6.1,8.3,12.2
Total,"9,639","10,642","10,747","10,808","11,095",4,4.3,4.3,4.2,4.2,5
