,Number of Domestic Violence Arrests,,,,,"Number of Domestic Violence Arrests per 1,000 Population",,,,,Rate Percent Change 2006-2010
,2006,2007,2008,2009,2010,2006,2007,2008,2009,2010,
Albemarle Co ,200 ,202 ,218 ,215 ,182 ,2.5 ,2.4 ,2.6 ,2.6 ,2.1 ,-17.0
Amelia Co ,39 ,46 ,31 ,53 ,44 ,3.6 ,4.1 ,2.7 ,4.7 ,3.9 ,+9.9
Buckingham Co ,50 ,54 ,53 ,75 ,61 ,3.4 ,3.6 ,3.5 ,5.2 ,4.0 ,+17.9
Caroline Co ,122 ,145 ,142 ,151 ,149 ,5.4 ,6.3 ,5.9 ,6.3 ,6.1 ,+11.4
Charles City Co ,14 ,16 ,9 ,15 ,15 ,2.2 ,2.5 ,1.5 ,2.3 ,2.3 ,+2.3
Chesterfield Co ,908 ,946 ,993 ,"1,035 ","1,132 ",3.6 ,3.6 ,3.7 ,3.9 ,4.1 ,+14.6
Culpeper Co ,218 ,208 ,226 ,180 ,209 ,5.7 ,5.3 ,5.5 ,4.5 ,5.2 ,-8.4
Cumberland Co ,34 ,25 ,32 ,26 ,35 ,4.0 ,2.9 ,3.7 ,3.0 ,4.0 ,-0.9
Dinwiddie Co ,29 ,83 ,44 ,60 ,84 ,1.2 ,3.6 ,1.8 ,2.6 ,3.4 ,+173.6
Fluvanna Co ,45 ,45 ,56 ,43 ,45 ,2.0 ,2.0 ,2.4 ,1.9 ,2.0 ,+0.6
Goochland Co ,30 ,26 ,42 ,26 ,32 ,1.7 ,1.4 ,2.2 ,1.4 ,1.6 ,-2.7
Greene Co ,37 ,36 ,78 ,56 ,77 ,2.5 ,2.4 ,5.1 ,3.6 ,4.9 ,+92.0
Hanover Co ,164 ,198 ,216 ,250 ,276 ,2.0 ,2.3 ,2.5 ,2.9 ,3.2 ,+60.5
Henrico Co ,"1,227 ","1,161 ","1,082 ",916 ,944 ,5.0 ,4.6 ,4.3 ,3.6 ,3.5 ,-28.6
King & Queen Co ,10 ,12 ,13 ,11 ,14 ,1.6 ,1.9 ,2.1 ,1.8 ,2.3 ,+43.0
King William Co ,46 ,41 ,40 ,44 ,65 ,3.6 ,3.1 ,2.9 ,3.1 ,4.7 ,+31.3
Louisa Co ,83 ,112 ,91 ,82 ,107 ,3.1 ,4.1 ,3.2 ,2.8 ,3.7 ,+18.0
Madison Co ,44 ,41 ,38 ,48 ,62 ,3.6 ,3.3 ,3.1 ,3.9 ,5.3 ,+46.0
Nelson Co ,31 ,33 ,38 ,43 ,35 ,2.3 ,2.4 ,2.7 ,3.1 ,2.6 ,+12.3
New Kent Co ,46 ,67 ,47 ,65 ,58 ,3.2 ,4.4 ,3.0 ,4.0 ,3.5 ,+11.9
Orange Co ,35 ,72 ,95 ,68 ,52 ,1.3 ,2.5 ,3.3 ,2.3 ,1.8 ,+39.2
Powhatan Co ,62 ,54 ,53 ,39 ,67 ,2.6 ,2.2 ,2.2 ,1.6 ,2.7 ,+2.6
Prince George Co ,62 ,63 ,51 ,57 ,34 ,1.9 ,1.9 ,1.5 ,1.7 ,1.1 ,-43.9
Rappahannock Co ,16 ,21 ,16 ,27 ,41 ,2.6 ,3.3 ,2.6 ,4.3 ,6.2 ,+134.8
Sussex Co ,35 ,33 ,38 ,35 ,34 ,3.2 ,3.0 ,3.5 ,3.2 ,3.1 ,-3.6
Charlottesville C ,166 ,148 ,173 ,173 ,170 ,4.7 ,4.0 ,4.9 ,4.6 ,4.3 ,-7.6
Colonial Heights C ,90 ,91 ,90 ,109 ,123 ,5.9 ,5.9 ,5.8 ,7.0 ,8.0 ,+35.0
Hopewell C ,117 ,138 ,114 ,129 ,140 ,6.1 ,7.2 ,5.8 ,6.6 ,7.3 ,+18.1
Petersburg C ,339 ,402 ,369 ,292 ,284 ,13.1 ,15.0 ,14.2 ,10.4 ,9.9 ,-24.0
Richmond C ,901 ,"1,157 ","1,165 ","1,275 ","1,424 ",5.4 ,6.9 ,6.9 ,7.2 ,7.9 ,+44.5
Total ,"5,200 ","5,676 ","5,653 ","5,598 ","5,995 ",4.0 ,4.3 ,4.2 ,4.1 ,4.3 ,+7.5
