,Number of Domestic Violence Arrests,,,,,"Number of Domestic Violence Arrests per 1,000 Population",,,,,Rate Percent Change 2006-2010
,2006,2007,2008,2009,2010,2006,2007,2008,2009,2010,
Brunswick Co,57,29,27,35,31,3.4,1.7,1.6,2.2,2.0,-41.7
Charlotte Co,83,48,55,60,38,7.4,4.3,5.0,5.7,3.4,-53.9
Greensville Co,5,7,22,22,31,0.4,0.6,1.9,2.1,2.8,+531.4
Halifax Co,91,84,83,90,102,2.8,2.6,2.6,2.9,3.2,+11.5
Henry Co,232,274,238,204,216,4.8,5.6,5.0,4.2,4.5,-6.5
Lunenburg Co,16,16,10,46,61,1.3,1.3,0.8,4.0,5.3,+297.1
Mecklenburg Co,146,119,96,120,91,5.0,4.1,3.4,4.2,3.1,-38.2
Nottoway Co,56,67,48,53,67,4.0,4.9,3.5,3.8,4.8,+19.4
Patrick Co,78,57,88,70,68,4.5,3.3,5.1,4.1,4.1,-8.3
Pittsylvania Co,208,171,245,223,248,3.8,3.1,4.5,4.1,4.4,+15.7
Prince Edward Co,25,16,25,44,32,1.3,0.8,1.3,2.2,1.5,+13.3
Southampton Co,6,12,27,43,54,0.4,0.7,1.6,2.6,3.3,+788.6
Danville C,285,328,426,338,362,7.1,8.3,10.8,8.7,9.6,+34.2
Emporia C,72,45,49,56,58,15.6,9.4,10.3,11.3,11.5,-26.7
Martinsville C,94,102,85,111,108,7.5,8.0,6.7,8.7,8.9,+18.2
Total,"1,454","1,375","1,524","1,515","1,567",4.3,4.0,4.5,4.5,4.6,+7.0
