,"Number of Domestic Violence Arrests per 1,000 Population",,,,,Percent Change 2006-2010
Region,"2,006","2,007","2,008","2,009","2,010",
Central,4,4,4,4,4,8
Eastern,3,3,3,3,3,
Hampton Roads,6,6,6,5,6,4
Northern,2,2,2,2,2.6,52.9
Southside,4,4,5,5,5,7
Southwest,4,4,4,4,4,-7
Valley ,3,3,3,3,4,13
West Central,5,5,6,6,5.3,15.2
Virginia,4,4,4,4,4,14
