,Number of Domestic Violence Arrests,,,,,"Number of Domestic Violence Arrests per 1,000 Population",,,,,Rate Percent Change 2006-2010
,2006,2007,2008,2009,2010,2006,2007,2008,2009,2010,
Alleghany Co,58,47,56,54,52,3.8,3.1,3.8,3.7,3.6,-6.7
Augusta Co,2,2,79,100,104,0.0,0.0,1.2,1.6,1.6,+4815.2
Bath Co,0,0,2,0,1,0.0,0.0,0.5,0.0,0.2,na
Frederick Co,202,208,235,240,244,3.3,3.3,3.6,3.7,3.6,+8.3
Highland Co,0,0,6,2,5,0.0,0.0,2.9,0.9,2.3,na
Page Co,63,36,37,26,42,3.0,1.7,1.8,1.2,2.0,-33.4
Rockbridge Co,66,70,65,71,74,3.4,3.5,3.3,3.8,3.7,+7.9
Rockingham Co,64,65,55,53,75,1.0,1.0,0.8,0.8,1.1,+11.5
Shenandoah Co,125,114,117,109,124,3.6,3.2,3.2,3.0,3.3,-5.8
Buena Vista C,6,18,21,19,11,1.1,3.1,3.6,3.4,1.9,+77.3
Covington C,46,55,48,71,62,9.1,10.6,9.2,12.8,11.8,+29.1
Harrisonburg C,116,131,122,135,137,2.9,3.3,3.0,3.3,3.1,+5.7
Lexington C,12,13,6,4,7,1.8,1.9,0.9,0.6,1.1,-40.4
Staunton C,114,129,163,134,157,5.6,6.3,7.9,6.3,7.4,+31.5
Waynesboro C,146,131,113,126,146,8.5,7.5,6.4,6.5,8.1,-4.7
Winchester C,203,159,172,208,228,9.0,7.1,7.6,9.3,10.0,+11.4
Total,"1,223","1,178","1,297","1,352","1,469",3.1,2.9,3.1,3.3,3.5,+12.9
