Locality,Number of Domestic Violence Arrests,,,,,"Number of Domestic Violence Arrests per 1,000 Population",,,,,Rate Percent Change 2006-2010
,2006,2007,2008,2009,2010,2006,2007,2008,2009,2010,
Bland Co,20,3,9,5,12,3.1,0.5,1.4,0.8,1.9,-37.4
Buchanan Co,120,86,114,115,111,5.3,4.0,5.2,5.6,5.1,-4.5
Carroll Co,135,176,193,157,152,5.1,6.5,7.2,6.0,5.7,+11.9
Dickenson Co,66,37,54,38,43,4.5,2.6,3.7,2.7,3.0,-32.7
Floyd Co,26,17,19,11,17,2.0,1.3,1.4,0.8,1.3,-35.5
Grayson Co,65,45,44,48,36,4.4,3.1,3.0,3.4,2.6,-41.9
Lee Co,22,25,12,12,14,1.0,1.2,0.5,0.5,0.6,-37.3
Russell Co,123,125,98,103,90,4.8,4.9,3.8,3.9,3.5,-26.6
Scott Co,80,70,91,59,63,3.8,3.3,4.2,2.9,3.0,-19.7
Smyth Co,183,165,131,136,141,6.4,5.8,4.6,4.8,4.9,-23.3
Tazewell Co,175,178,233,262,212,4.5,4.7,5.9,6.5,5.3,+17.9
Washington Co,144,174,186,115,167,3.1,3.7,3.9,2.4,3.4,+10.8
Wise Co,226,216,175,169,172,6.2,6.0,4.8,4.6,4.7,-24.3
Wythe Co,34,27,38,43,51,1.4,1.1,1.5,1.7,2.0,+41.8
Bristol C,96,107,94,111,103,6.2,6.9,6.1,7.1,6.6,+5.5
Galax C,30,40,51,40,42,5.1,6.9,8.9,6.7,6.8,+32.8
Norton C,17,21,22,15,24,5.0,6.3,6.0,4.5,6.9,+38.0
Total,"1,562","1,512","1,564","1,439","1,450",4.2,4.1,4.2,3.9,3.9,-7.1
