,Number of Domestic Violence Arrests,,,,,"Number of Domestic Violence Arrests per 1,000 Population",,,,,Rate Percent Change 2006-2010
,2006,2007,2008,2009,2010,2006,2007,2008,2009,2010,
Gloucester Co,93,128,90,79,89,3.0,4.0,2.8,2.3,2.7,-8.2
Isle of Wight Co,77,76,104,100,104,2.6,2.6,3.4,3.2,3.3,+25.8
James City Co,203,181,191,182,166,3.9,3.3,3.4,3.2,2.8,-27.9
Mathews Co,28,36,26,24,29,3.3,4.1,3.0,2.9,3.5,+6.0
Surry Co,38,26,25,25,18,6.2,4.1,4.0,3.9,2.9,-54.4
York Co,144,184,190,190,200,2.6,3.3,3.4,3.5,3.5,+34.0
Chesapeake C,889,921,837,590,890,4.8,4.9,4.4,3.1,4.6,-4.0
Franklin C,61,77,67,59,69,8.6,10.6,9.5,8.0,9.4,+9.1
Hampton C,849,830,785,868,821,6.7,6.5,6.2,6.9,6.8,+1.9
Newport News C,"1,313","1,125","1,264","1,126","1,097",8.6,7.4,8.4,6.9,7.1,-18.3
Norfolk C,515,733,705,817,"1,281",2.6,3.7,3.5,4.1,6.0,+135.2
Poquoson C,31,25,29,37,35,2.9,2.4,2.8,3.5,3.2,+9.4
Portsmouth C,646,670,662,660,698,7.7,8.0,8.0,7.8,8.5,+10.7
Suffolk C,333,328,371,412,393,4.9,4.7,5.3,5.8,5.4,+11.1
Virginia Beach C,"2,537","2,591","2,513","2,372","2,334",6.8,7.0,6.8,6.3,6.1,-10.4
Williamsburg C,73,59,48,64,70,5.9,4.8,3.9,5.6,5.3,-11.1
Total,"4,135","4,406","4,328","4,362","4,811",5.6,5.7,5.6,5.3,5.8,+3.6
